video_filename,start_time,end_time,label
Abuse001_x264.mp4,00:07.0,00:08.5,normal
Abuse001_x264.mp4,00:07.2,00:08.5,normal
Abuse001_x264.mp4,00:08.2,00:08.9,normal
Abuse001_x264.mp4,00:08.9,00:11.2,suspicious
Abuse001_x264.mp4,00:08.9,00:11.2,suspicious
Abuse001_x264.mp4,00:11.3,00:13.3,suspicious
Abuse001_x264.mp4,00:15.2,00:18.9,normal
Abuse001_x264.mp4,00:19.7,00:25.4,normal
Abuse002_x264.mp4,00:00.0,00:02.3,normal
Abuse002_x264.mp4,00:00.0,00:02.3,normal
Abuse002_x264.mp4,00:02.3,00:03.2,normal
Abuse002_x264.mp4,00:02.3,00:03.3,normal
Abuse002_x264.mp4,00:03.5,00:04.2,normal
Abuse002_x264.mp4,00:04.6,00:05.5,normal
Abuse002_x264.mp4,00:05.3,00:08.5,normal
Abuse002_x264.mp4,00:07.3,00:09.3,normal
Abuse002_x264.mp4,00:08.5,00:10.6,normal
Abuse002_x264.mp4,00:10.5,00:14.6,normal
Abuse002_x264.mp4,00:11.9,00:13.5,normal
Abuse002_x264.mp4,00:11.9,00:13.5,normal
Abuse002_x264.mp4,00:14.3,00:16.5,normal
Abuse002_x264.mp4,00:14.3,00:16.5,normal
Abuse002_x264.mp4,00:16.5,00:18.6,normal
Abuse002_x264.mp4,00:16.5,00:18.6,normal
Abuse002_x264.mp4,00:18.6,00:25.1,normal
Abuse002_x264.mp4,00:18.6,00:25.1,normal
Abuse002_x264.mp4,00:18.6,00:25.1,normal
Abuse002_x264.mp4,00:27.3,00:28.4,normal
Abuse002_x264.mp4,00:27.3,00:28.4,normal
Abuse002_x264.mp4,00:27.3,00:28.4,normal
Abuse003_x264.mp4,00:00.0,00:23.1,normal
Abuse003_x264.mp4,00:23.1,00:30.7,normal
Abuse003_x264.mp4,00:30.7,00:31.9,normal
Abuse003_x264.mp4,00:31.8,00:32.7,normal
Abuse003_x264.mp4,00:31.8,00:32.7,normal
Abuse003_x264.mp4,00:33.6,00:35.4,normal
Abuse003_x264.mp4,00:35.7,00:37.0,normal
Abuse003_x264.mp4,00:36.9,00:38.0,normal
Abuse003_x264.mp4,00:38.0,00:38.9,suspicious
Abuse003_x264.mp4,00:39.6,00:41.9,suspicious
Abuse003_x264.mp4,00:42.0,00:46.7,suspicious
Abuse003_x264.mp4,00:50.0,01:01.5,suspicious
Abuse003_x264.mp4,01:01.9,01:09.0,normal
Abuse003_x264.mp4,01:09.0,01:10.5,normal
Abuse003_x264.mp4,01:09.0,01:10.5,suspicious
Abuse003_x264.mp4,01:10.5,01:12.3,suspicious
Abuse003_x264.mp4,01:12.8,01:14.7,suspicious
Abuse003_x264.mp4,01:15.4,01:17.0,normal
Abuse003_x264.mp4,01:16.9,01:17.6,normal
Abuse003_x264.mp4,01:18.4,01:24.1,suspicious
Abuse003_x264.mp4,01:24.5,01:29.4,suspicious
Abuse003_x264.mp4,01:31.1,01:35.2,suspicious
Abuse003_x264.mp4,01:35.5,01:37.1,suspicious
Abuse003_x264.mp4,01:37.1,01:39.5,suspicious
Abuse003_x264.mp4,01:39.6,01:42.0,suspicious
Abuse003_x264.mp4,01:42.8,01:47.2,normal
Abuse003_x264.mp4,01:47.5,01:53.2,normal
Abuse003_x264.mp4,01:53.2,01:58.6,normal
Abuse005_x264.mp4,00:00.0,00:03.3,normal
Abuse005_x264.mp4,00:00.0,00:03.3,normal
Abuse005_x264.mp4,00:00.0,00:03.3,normal
Abuse005_x264.mp4,00:03.5,00:07.5,normal
Abuse005_x264.mp4,00:03.5,00:07.5,normal
Abuse005_x264.mp4,00:07.7,00:09.4,normal
Abuse005_x264.mp4,00:09.6,00:11.3,normal
Abuse005_x264.mp4,00:11.5,00:13.9,normal
Abuse005_x264.mp4,00:11.5,00:13.9,normal
Abuse005_x264.mp4,00:14.2,00:18.8,normal
Abuse005_x264.mp4,00:22.6,00:23.7,normal
Abuse005_x264.mp4,00:23.9,00:30.4,normal
Abuse007_x264.mp4,00:00.1,00:03.5,normal
Abuse007_x264.mp4,00:00.1,00:03.5,normal
Abuse007_x264.mp4,00:03.3,00:04.5,normal
Abuse007_x264.mp4,00:04.9,00:06.5,normal
Abuse007_x264.mp4,00:07.9,00:09.5,normal
Abuse007_x264.mp4,00:09.8,00:19.6,normal
Abuse007_x264.mp4,00:09.8,00:19.6,normal
Abuse007_x264.mp4,00:18.8,00:21.6,normal
Abuse007_x264.mp4,00:16.7,00:19.7,normal
Abuse007_x264.mp4,00:20.0,00:21.7,normal
Abuse007_x264.mp4,00:21.7,00:37.9,normal
Abuse007_x264.mp4,00:22.2,00:24.6,normal
Abuse007_x264.mp4,00:28.6,00:30.1,normal
Abuse007_x264.mp4,00:30.3,00:37.7,normal
Abuse009_x264.mp4,00:00.0,00:07.2,normal
Abuse009_x264.mp4,00:08.9,00:15.2,normal
Abuse009_x264.mp4,00:14.9,00:16.0,suspicious
Abuse009_x264.mp4,00:16.3,00:22.2,suspicious
Abuse009_x264.mp4,00:23.2,00:26.9,suspicious
Abuse010_x264.mp4,00:00.0,00:02.3,normal
Abuse010_x264.mp4,00:03.2,00:05.1,normal
Abuse010_x264.mp4,00:06.0,00:11.9,normal
Abuse010_x264.mp4,00:06.0,00:14.9,normal
Abuse010_x264.mp4,00:12.9,00:19.5,normal
Abuse010_x264.mp4,00:15.5,00:21.3,normal
Abuse010_x264.mp4,00:21.5,00:32.2,normal
Abuse010_x264.mp4,00:21.5,00:32.2,normal
Abuse010_x264.mp4,00:32.7,00:37.1,normal
Abuse011_x264.mp4,00:09.8,00:13.0,normal
Abuse011_x264.mp4,00:14.3,00:17.8,normal
Abuse011_x264.mp4,00:17.8,00:19.0,normal
Abuse011_x264.mp4,00:19.8,00:22.6,normal
Abuse011_x264.mp4,00:25.8,00:28.8,normal
Abuse011_x264.mp4,00:28.1,00:30.5,normal
Abuse011_x264.mp4,00:30.8,00:34.4,normal
Abuse011_x264.mp4,00:34.1,00:36.4,normal
Abuse011_x264.mp4,00:36.8,00:38.4,normal
Abuse011_x264.mp4,00:39.1,00:40.2,normal
Abuse011_x264.mp4,00:40.6,00:43.2,normal
Abuse011_x264.mp4,00:44.0,00:46.1,normal
Abuse011_x264.mp4,00:46.5,00:51.5,normal
Abuse011_x264.mp4,00:51.9,00:55.5,suspicious
Abuse011_x264.mp4,00:55.1,00:58.9,suspicious
Abuse011_x264.mp4,00:58.0,00:59.8,suspicious
Abuse011_x264.mp4,01:02.2,01:05.4,normal
Abuse011_x264.mp4,01:05.8,01:08.0,normal
Abuse011_x264.mp4,01:07.5,01:10.0,normal
Abuse011_x264.mp4,01:07.5,01:10.0,normal
Abuse011_x264.mp4,01:10.1,01:14.7,normal
Abuse011_x264.mp4,01:15.6,01:17.3,normal
Abuse011_x264.mp4,01:17.1,01:21.1,normal
Abuse011_x264.mp4,01:21.5,01:26.9,normal
